"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.521803961E1,6.506287222E1,2.547349096E1,1.651473268E1,3.400000000E1,3.700000048E-1,8.790000153E1,6.302628929E-2,2.500000000E0,1.000000000E2,1.600000000E1
6.618231745E1,6.506286958E1,2.547350345E1,1.651473509E1,3.400000000E1,7.299999595E-1,8.450000000E1,6.450022308E-2,2.500000000E0,1.000000000E2,1.700000000E1
6.718856653E1,6.506286857E1,2.547353480E1,1.551473903E1,3.300000000E1,1.230000019E0,7.800000000E1,6.641016897E-2,2.500000000E0,1.000000000E2,1.700000000E1
6.820141588E1,6.506286836E1,2.547357554E1,1.451474374E1,3.200000000E1,1.709999919E0,6.769999695E1,6.763326635E-2,3.000000000E0,1.000000000E2,1.700000000E1
6.921380495E1,6.506286635E1,2.547360118E1,1.451474741E1,3.200000000E1,1.419999957E0,8.150000000E1,6.965546949E-2,3.000000000E0,1.000000000E2,1.700000000E1
7.020055053E1,6.506286723E1,2.547364427E1,1.451475197E1,3.200000000E1,1.569999933E0,8.730000305E1,7.197993169E-2,2.500000000E0,1.000000000E2,1.700000000E1
7.121536780E1,6.506286530E1,2.547369364E1,1.451475830E1,3.200000000E1,2.180000067E0,8.850000000E1,7.486627662E-2,2.500000000E0,1.000000000E2,1.700000000E1
7.220626691E1,6.506286434E1,2.547375516E1,1.451476565E1,3.200000000E1,2.429999828E0,8.580000305E1,7.800533532E-2,2.500000000E0,1.000000000E2,1.700000000E1
7.322099668E1,6.506286828E1,2.547382146E1,1.451477170E1,3.200000000E1,2.519999981E0,8.159999847E1,8.099275015E-2,3.000000000E0,1.000000000E2,1.700000000E1
7.421368706E1,6.506287075E1,2.547388491E1,1.451477797E1,3.200000000E1,2.529999971E0,8.130000305E1,8.453166095E-2,3.000000000E0,1.000000000E2,1.600000000E1
7.522943445E1,6.506287188E1,2.547396035E1,1.451478611E1,3.200000000E1,3.220000029E0,8.069999695E1,8.814304533E-2,3.000000000E0,1.000000000E2,1.600000000E1
7.620502333E1,6.506287172E1,2.547403738E1,1.351479492E1,3.100000000E1,2.929999828E0,8.140000153E1,9.204134538E-2,3.000000000E0,1.000000000E2,1.500000000E1
7.722997160E1,6.506287146E1,2.547412053E1,1.351480446E1,3.100000000E1,3.089999914E0,8.369999695E1,9.671235886E-2,3.000000000E0,1.000000000E2,1.700000000E1
7.822995933E1,6.506286924E1,2.547422002E1,1.251481660E1,3.000000000E1,4.549999714E0,8.759999847E1,1.039021002E-1,3.500000000E0,1.000000000E2,1.800000000E1
7.921705790E1,6.506286262E1,2.547437257E1,1.251483641E1,3.000000000E1,4.779999733E0,8.850000000E1,1.101314989E-1,3.000000000E0,1.000000000E2,1.800000000E1
8.021660537E1,6.506286358E1,2.547450542E1,1.351485113E1,3.100000000E1,4.960000038E0,8.909999847E1,1.158765174E-1,2.500000000E0,1.000000000E2,1.700000000E1
8.121195267E1,6.506286090E1,2.547462780E1,1.351486604E1,3.100000000E1,5.230000019E0,8.969999695E1,1.221843463E-1,2.500000000E0,1.000000000E2,1.700000000E1
8.214907179E1,6.506286002E1,2.547476233E1,1.351488164E1,3.100000000E1,5.279999733E0,8.959999847E1,1.278541054E-1,2.500000000E0,1.000000000E2,1.800000000E1
8.321221048E1,6.506286174E1,2.547488320E1,1.251489472E1,3.000000000E1,5.469999790E0,9.150000000E1,1.334779385E-1,2.500000000E0,1.000000000E2,1.800000000E1
8.416011390E1,6.506285973E1,2.547500306E1,1.251490909E1,3.000000000E1,5.529999733E0,9.250000000E1,1.390073118E-1,2.500000000E0,1.000000000E2,1.600000000E1
8.522582113E1,6.506285474E1,2.547512040E1,1.251492429E1,3.000000000E1,5.579999924E0,9.250000000E1,1.447490615E-1,2.500000000E0,1.000000000E2,1.800000000E1
8.621573940E1,6.506285403E1,2.547524286E1,1.251493846E1,3.000000000E1,5.739999771E0,9.040000153E1,1.505762337E-1,2.500000000E0,1.000000000E2,1.600000000E1
8.721010125E1,6.506285223E1,2.547536708E1,1.251495324E1,3.000000000E1,5.670000076E0,8.700000000E1,1.565309549E-1,2.500000000E0,1.000000000E2,1.800000000E1
