"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.941781910E-1,-4.797666550E0,7.744698524E-1,9.381951332E0,1.056590832E1
5.021778790E-1,-3.483551502E0,1.514482021E0,9.533133507E0,1.026203787E1
5.101774490E-1,-9.588272572E-1,2.718128681E0,9.922468185E0,1.033261574E1
5.181752220E-1,5.098325014E-1,3.571074486E0,8.978178978E0,9.675753197E0
5.261741680E-1,1.398030043E0,4.443001270E0,7.339273930E0,8.692507699E0
5.341753390E-1,2.061964273E0,5.063877583E0,6.466578484E0,8.468245988E0
5.421763160E-1,2.666034460E0,5.344434738E0,5.699211121E0,8.255406096E0
5.501770970E-1,3.282007456E0,5.224746227E0,4.818225384E0,7.828463574E0
5.581786600E-1,3.798593521E0,4.758943558E0,4.516427040E0,7.581224817E0
5.661789330E-1,4.963364601E0,4.606063843E0,4.516074657E0,8.139148764E0
5.741796360E-1,4.202806950E0,3.838388920E0,5.752290726E0,8.092321320E0
5.821791680E-1,3.489791393E0,3.282942772E0,5.453001976E0,7.258897145E0
5.901774490E-1,3.834410429E0,4.368008614E0,5.345529556E0,7.896637818E0
5.981775270E-1,2.489396095E0,2.118134499E0,4.309618473E0,5.408918381E0
6.061794410E-1,6.630842686E-1,1.493451595E0,2.644374847E0,3.108503941E0
6.141831520E-1,-2.151327133E-1,1.296654224E0,2.069154263E0,2.451324871E0
6.221854960E-1,-1.006949425E0,6.889190674E-1,2.222971439E0,2.535775748E0
6.301864330E-1,-1.916332722E0,-3.789753914E-1,2.257983446E0,2.985706397E0
6.381903000E-1,-2.223670959E0,-1.172549248E0,2.242800474E0,3.368937257E0
6.461956520E-1,-1.992698669E0,-1.462410927E0,2.076663256E0,3.228315967E0
6.542008470E-1,-1.532957554E0,-1.829996109E0,1.539303064E0,2.840475056E0
6.622047930E-1,-1.151090622E0,-1.023277283E0,8.360400200E-1,1.752446556E0
6.702055350E-1,-1.072832108E0,-8.076090813E-1,7.417480946E-1,1.534076724E0
6.782065890E-1,-6.379747391E-1,5.567951202E-1,1.661247492E0,1.864611435E0
6.862105350E-1,2.687058449E-1,1.027789593E0,2.772983551E0,2.969510406E0
6.942149880E-1,9.465880394E-1,1.212193489E0,3.260760307E0,3.605273880E0
7.022160820E-1,4.253764153E-1,1.615733624E0,3.131500006E0,3.549342548E0
