"event","experiment time","system time","system time text"
"START",0.000000000E0,1725804982.639,"2024-09-08 17:16:22.639 UTC+03:00"
"PAUSE",5.528018672E1,1725805037.919,"2024-09-08 17:17:17.919 UTC+03:00"
