"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.937583890E-1,1.620808959E0,-6.549882889E-1,8.512401581E-2,1.750222111E0
5.017600690E-1,1.346559882E0,-6.756515503E-1,2.633414268E-1,1.529404211E0
5.097642490E-1,9.859157205E-1,-6.515226364E-1,3.859410286E-1,1.243166132E0
5.177660060E-1,8.189860582E-1,-4.592733383E-1,4.406352043E-1,1.037222033E0
5.257685840E-1,7.442802191E-1,-1.624240875E-1,4.489607811E-1,8.842513283E-1
5.337732720E-1,7.667387724E-1,7.501125336E-2,4.849786758E-1,9.103402382E-1
5.417777640E-1,7.328894138E-1,1.349163055E-1,4.165315628E-1,8.537141473E-1
5.497779200E-1,7.158834338E-1,3.429279327E-1,3.728985786E-1,8.770074161E-1
5.577790920E-1,7.293611765E-1,6.181993484E-1,4.488086700E-1,1.056204233E0
5.657779990E-1,7.845650315E-1,7.878255844E-1,5.256147385E-1,1.229830189E0
5.737766310E-1,8.227134347E-1,8.083648682E-1,6.279797554E-1,1.313266816E0
5.817737020E-1,6.486181021E-1,5.992212296E-1,5.963935852E-1,1.065578168E0
5.897671000E-1,7.833753228E-1,4.632339478E-1,1.128277779E-1,9.170565382E-1
5.977645610E-1,6.276292801E-1,-2.076816559E-2,-3.327035904E-2,6.288535177E-1
6.057624520E-1,5.253481865E-1,-3.351049423E-1,-2.548131943E-1,6.732130446E-1
6.137607330E-1,3.456296027E-1,-6.279201508E-1,-5.577297211E-1,9.081882953E-1
6.217587410E-1,5.440586805E-2,-9.148855209E-1,-4.028782845E-1,1.001142561E0
6.297574910E-1,-1.946335435E-1,-1.190324306E0,-1.081404686E-1,1.210970079E0
6.377546780E-1,-2.637181282E-1,-1.301196575E0,2.166237831E-1,1.345208401E0
6.457534280E-1,-2.581869364E-1,-1.417191029E0,2.643213272E-1,1.464567059E0
6.537535840E-1,-2.349028587E-1,-1.616600513E0,1.718287468E-1,1.642589934E0
6.617538190E-1,-2.819151282E-1,-1.826627731E0,3.328895569E-2,1.848554344E0
6.697531550E-1,1.951790154E-1,-1.404882908E0,-3.783288002E-1,1.467965774E0
6.777510450E-1,1.009557009E0,-7.733802795E-1,-8.650417328E-1,1.538057089E0
6.857497950E-1,1.005378127E0,-6.794757843E-1,-9.038233757E-1,1.513066163E0
6.937482330E-1,6.034421921E-1,-7.172393799E-1,-7.649357319E-1,1.209835312E0
7.017490140E-1,2.714353800E-2,-6.372365952E-1,-8.850269318E-1,1.090907842E0
7.097503810E-1,-3.479458690E-1,-5.133600235E-1,-9.530262947E-1,1.137041758E0
7.177490140E-1,-7.002725005E-1,-3.617563248E-1,-8.072283268E-1,1.128213980E0
7.257463580E-1,-1.043778777E0,-2.112398148E-1,-3.466157913E-1,1.119928079E0
7.337446390E-1,-1.310010195E0,-5.833148956E-2,2.827143669E-1,1.341438290E0
7.417429590E-1,-1.326894045E0,9.952545166E-2,8.504104614E-1,1.579161510E0
